"Category","Date","Title","Slug","Url","SourcePage","ImageUrl","LocalPath"
"Poetry","2022-10-12T18:56:40.258Z","Beginnings","beginnings","https://www.catconnolly.com/post/beginnings","https://www.catconnolly.com/writings/categories/poetry","https://static.wixstatic.com/media/aacaad_343855d22026489f8f187236019e9d36~mv2.jpg","assets/images/writings/aacaad_343855d22026489f8f187236019e9d36~mv2.jpg"
"Poetry","2022-10-12T18:55:12.389Z","The Gift","the-gift","https://www.catconnolly.com/post/the-gift","https://www.catconnolly.com/writings/categories/poetry","https://static.wixstatic.com/media/aacaad_818ade32e083447bb3bb53d4bc052736~mv2_d_3024_4032_s_4_2.jpg","assets/images/writings/aacaad_818ade32e083447bb3bb53d4bc052736~mv2_d_3024_4032_s_4_2.jpg"
"Poetry","2022-10-12T18:49:02.249Z","The Drip","the-drip","https://www.catconnolly.com/post/the-drip","https://www.catconnolly.com/writings/categories/poetry","https://static.wixstatic.com/media/aacaad_ce623ee24e044464af3e2457dd9d5b39~mv2.jpg","assets/images/writings/aacaad_ce623ee24e044464af3e2457dd9d5b39~mv2.jpg"
"Poetry","2022-10-12T18:47:49.924Z","A Priest","a-priest","https://www.catconnolly.com/post/a-priest","https://www.catconnolly.com/writings/categories/poetry","https://static.wixstatic.com/media/aacaad_c130a80ad7844ebc99fb22f34e0ad73c~mv2_d_3024_4032_s_4_2.jpg","assets/images/writings/aacaad_c130a80ad7844ebc99fb22f34e0ad73c~mv2_d_3024_4032_s_4_2.jpg"
"Poetry","2022-10-12T18:45:25.056Z","Good Friday Lament","good-friday-lament","https://www.catconnolly.com/post/good-friday-lament","https://www.catconnolly.com/writings/categories/poetry","https://static.wixstatic.com/media/aacaad_1695d4bfe23747c2908f879ebd399d4e~mv2_d_3024_4032_s_4_2.jpg","assets/images/writings/aacaad_1695d4bfe23747c2908f879ebd399d4e~mv2_d_3024_4032_s_4_2.jpg"
"Poetry","2022-10-12T18:44:21.016Z","Dear Soul","dear-soul","https://www.catconnolly.com/post/dear-soul","https://www.catconnolly.com/writings/categories/poetry","https://static.wixstatic.com/media/aacaad_d0895a2106324a689059a9dde2a7271e~mv2.jpg","assets/images/writings/aacaad_d0895a2106324a689059a9dde2a7271e~mv2.jpg"
"Poetry","2022-10-12T18:43:32.033Z","Praise Be","praise-be","https://www.catconnolly.com/post/praise-be","https://www.catconnolly.com/writings/categories/poetry","https://static.wixstatic.com/media/aacaad_b328cd7275b74256a4fd7f276c414383~mv2.jpg","assets/images/writings/aacaad_b328cd7275b74256a4fd7f276c414383~mv2.jpg"
"Poetry","2022-10-12T18:42:41.591Z","Tombstones","tombstones","https://www.catconnolly.com/post/tombstones","https://www.catconnolly.com/writings/categories/poetry","https://static.wixstatic.com/media/aacaad_f065cae7c9a74a0fae5244c9648d4a7d~mv2.jpg","assets/images/writings/aacaad_f065cae7c9a74a0fae5244c9648d4a7d~mv2.jpg"
"Poetry","2022-10-12T18:41:15.218Z","Loss","_loss","https://www.catconnolly.com/post/_loss","https://www.catconnolly.com/writings/categories/poetry","https://static.wixstatic.com/media/aacaad_cea9e33c5dbb46db9de27b7b6dd2cf31~mv2.jpg","assets/images/writings/aacaad_cea9e33c5dbb46db9de27b7b6dd2cf31~mv2.jpg"
"Poetry","2022-10-12T18:40:19.121Z","A Psalm before Ordination","a-psalm-before-ordination","https://www.catconnolly.com/post/a-psalm-before-ordination","https://www.catconnolly.com/writings/categories/poetry/page/2","https://static.wixstatic.com/media/aacaad_443062d0b6bc47dba3bf2028a730ee3f~mv2.jpg","assets/images/writings/aacaad_443062d0b6bc47dba3bf2028a730ee3f~mv2.jpg"
